FACHKUERZEL;FACHNAME;MODULKUERZEL;MODULBEZEICHNUNG;MODULVERANTWORTUNG;UUID;Spalte1;Spalte2
EBR AI ITM MI WI V;Einführung in Betriebssysteme und Rechnerarchitektur;1152;Einführung in Betriebssysteme und Rechnerarchitekturen;Karsch, Stefan;ca3d9db5-d117-4f01-b166-ea0a25a9bb84;;
MAS WI V;Modellierung von Anwendungssystemen;1172;Modellierung von Anwendungssystemen;Winter, Mario;f7a2b38b-8a5e-4c7c-9d88-73cf1ab65e62;;
MA1 AI ITM MI V;Mathematik 1;1176;Mathematik I;Konen, Wolfgang;bc161197-329c-4146-ae3d-9269cc05c108;;
ADES M;Automation of discrete event systems;1182;Advanced Process Control and Optimization (English);Scheuring, Rainer;;;
ADES M;Automation of discrete event systems;1182;Advanced Process Control and Optimization (English);Zaefferer, Martin;;;
ADES M;Automation of discrete event systems;1182;Advanced Process Control and Optimization (English);Kampmann, Andreas;;;
ADES M;Automation of discrete event systems;1182;Advanced Process Control and Optimization (English);Bartz-Beielstein, Thomas;;;
PTC MAIT;Linear, nonlinear and model predictive control;1182;Advanced Process Control and Optimization (English);Kampmann, Andreas;;;
PTC MAIT;Linear, nonlinear and model predictive control;1182;Advanced Process Control and Optimization (English);Scheuring, Rainer;;;
PTC MAIT;Linear, nonlinear and model predictive control;1182;Advanced Process Control and Optimization (English);Zaefferer, Martin;;;
PTC MAIT;Linear, nonlinear and model predictive control;1182;Advanced Process Control and Optimization (English);Bartz-Beielstein, Thomas;;;
EL E;Elektronik;1185;Elektronik;Kampmann, Andreas;9ae4f461-817e-479b-90e1-071ec82c2079;;
PMA M;Projektmanagement (ING);1187;Projektmanagement;Stumpf, Siegfried;562e8f70-92d9-4907-af24-3f355a2ff204;;
FT1 K;Fertigungstechnik 1 (Kunststoff);1194;Fertigungstechnik I (Metall- und Kunststoffverarbeitung);Zwanzig, Florian;2b036373-3e61-46bf-939b-61c843e78f0e;;
FT1 K;Fertigungstechnik 1 (Kunststoff);1194;Fertigungstechnik I (Metall- und Kunststoffverarbeitung);Lake, Simone;2b036373-3e61-46bf-939b-61c843e78f0e;;
FT1 M;Fertigungstechnik 1 (Metall);1194;Fertigungstechnik I (Metall- und Kunststoffverarbeitung);Lake, Simone;ce3ff48e-28d0-4bcc-b5e7-8c0f551f2112;;
FT1 M;Fertigungstechnik 1 (Metall);1194;Fertigungstechnik I (Metall- und Kunststoffverarbeitung);Zwanzig, Florian;ce3ff48e-28d0-4bcc-b5e7-8c0f551f2112;;
KOR M;Technisches Zeichnen - CAD s. Staffelplan;1210;Technisches Zeichnen und CAD;Tichelmann, Patrick;d4ad3104-c495-4acb-8ce0-a73881210650;;
KOR M;Technisches Zeichnen - CAD s. Staffelplan;1210;Technisches Zeichnen und CAD;Walkowiak, Marcel;d4ad3104-c495-4acb-8ce0-a73881210650;;
TUTTZ B;Tutorium Technisches Zeichnen für Wirtschaftsing und Allg. Maschinenbau;1210;Technisches Zeichnen und CAD;, ;d4ad3104-c495-4acb-8ce0-a73881210650;;
TZ B;Technisches Zeichnen für Wirtschaftsing und Allg. Maschinenbau;1210;Technisches Zeichnen und CAD;Tichelmann, Patrick;d4ad3104-c495-4acb-8ce0-a73881210650;;
