FACHKUERZEL;FACHNAME;MODULKUERZEL;MODULBEZEICHNUNG;MODULVERANTWORTUNG;UUID;Spalte1;Spalte2
EP MI S;Entwicklungsprojekt;2327;Entwicklungsprojekt;Blümm, Mirjam;ebc1f2d1-74eb-4b04-a385-fc7881727b07;;
EP MI S;Entwicklungsprojekt;2327;Entwicklungsprojekt;Noss, Christian;ebc1f2d1-74eb-4b04-a385-fc7881727b07;;
EP MI S;Entwicklungsprojekt;2327;Entwicklungsprojekt;Hartmann, Gerhard;ebc1f2d1-74eb-4b04-a385-fc7881727b07;;
EP MI S;Entwicklungsprojekt;2327;Entwicklungsprojekt;Fischer, Kristian;ebc1f2d1-74eb-4b04-a385-fc7881727b07;;
EP MI S;Entwicklungsprojekt;2327;Entwicklungsprojekt;Kornacher, Hans;ebc1f2d1-74eb-4b04-a385-fc7881727b07;;
EP MI S;Entwicklungsprojekt;2327;Entwicklungsprojekt;Kohls, Christian;ebc1f2d1-74eb-4b04-a385-fc7881727b07;;
SNS MMI;Storytelling und narrative Strukturen;2346;Storytelling und narrative Strukturen;Kornacher, Hans;da6b8091-54e2-44cd-9068-3d4821a27d96;;
WA MMI;Web Architekturen;2347;Web Architekturen;Erasmus, Patrick;14cd13b2-5672-437e-bdf8-d92c63d10ece;;
DM MMI;Design Methodologies;2348;Design Methodologies;Kohls, Christian;f714aead-9228-4038-b93d-20d7b8f1a644;;
DM MMI;Design Methodologies;2348;Design Methodologies;Hartmann, Gerhard;f714aead-9228-4038-b93d-20d7b8f1a644;;
SPV MMI;Sicherheit, Privatsphäre und Vertrauen im Netz;2349;Sicherheit, Privatsphäre und Vertrauen;Karsch, Stefan;dd84367c-cc8c-4e36-bfcc-7c8522145b9e;;s. SPV DSM
BCG MMI;Bildbasierte Computergrafik;2350;Bildbasierte Computergrafik;Niebling, Florian;6cc4ef94-a19a-4eee-a1ea-545cafc7c50f;;
P1 MMI;Projekt I: Vision und Konzept;2351;Projekt I: Vision und Konzept;Kohls, Christian;bad1acaa-dd0e-4f52-850a-fc3976a30a3d;;
P1 MMI;Projekt I: Vision und Konzept;2351;Projekt I: Vision und Konzept;Kornacher, Hans;bad1acaa-dd0e-4f52-850a-fc3976a30a3d;;
P1 MMI;Projekt I: Vision und Konzept;2351;Projekt I: Vision und Konzept;Winter, Mario;bad1acaa-dd0e-4f52-850a-fc3976a30a3d;;
P1 MMI;Projekt I: Vision und Konzept;2351;Projekt I: Vision und Konzept;Noss, Christian;bad1acaa-dd0e-4f52-850a-fc3976a30a3d;;
P1 MMI;Projekt I: Vision und Konzept;2351;Projekt I: Vision und Konzept;Hartmann, Gerhard;bad1acaa-dd0e-4f52-850a-fc3976a30a3d;;
P3 MMI;Projekt III: Forschung, Evaluation/Assessment, Verwertung;2353;Projekt III: Forschung, Evaluation/Assessment, Verwertung;Kornacher, Hans;178d394f-0b03-4566-80b6-272fbd49f760;;
P3 MMI;Projekt III: Forschung, Evaluation/Assessment, Verwertung;2353;Projekt III: Forschung, Evaluation/Assessment, Verwertung;Kohls, Christian;178d394f-0b03-4566-80b6-272fbd49f760;;
P3 MMI;Projekt III: Forschung, Evaluation/Assessment, Verwertung;2353;Projekt III: Forschung, Evaluation/Assessment, Verwertung;Noss, Christian;178d394f-0b03-4566-80b6-272fbd49f760;;
P3 MMI;Projekt III: Forschung, Evaluation/Assessment, Verwertung;2353;Projekt III: Forschung, Evaluation/Assessment, Verwertung;Stenzel, Horst;178d394f-0b03-4566-80b6-272fbd49f760;;
P3 MMI;Projekt III: Forschung, Evaluation/Assessment, Verwertung;2353;Projekt III: Forschung, Evaluation/Assessment, Verwertung;Winter, Mario;178d394f-0b03-4566-80b6-272fbd49f760;;
P3 MMI;Projekt III: Forschung, Evaluation/Assessment, Verwertung;2353;Projekt III: Forschung, Evaluation/Assessment, Verwertung;Fischer, Kristian;178d394f-0b03-4566-80b6-272fbd49f760;;
P3 MMI;Projekt III: Forschung, Evaluation/Assessment, Verwertung;2353;Projekt III: Forschung, Evaluation/Assessment, Verwertung;Hartmann, Gerhard;178d394f-0b03-4566-80b6-272fbd49f760;;
PH B;Physik - Aller Anfang ist schwer;2505;Physik - Aller Anfang ist schwer;Zakrevski, Juri;;;
TI1 AI MI V;Theoretische Informatik 1;2525;Theoretische Informatik I;Lindt, Irma;c75606ef-21dd-404f-a468-ab7f9c4c4117;;
TIM1 MMW;Technologie- und Innovationsmanagement - 1;2565;Technologie- und Innovationsmanagement - 1 & 2;Haag, Christoph;670d85f3-8085-420b-831f-6da1cfd4f1de;;
TIM2 MMW;Technologie- und Innovationsmanagement - 2;2565;Technologie- und Innovationsmanagement - 1 & 2;Haag, Christoph;94cf925a-cf03-49e9-b585-eeed8550f789;;
TIMUE MMW;Technologie- und Innovationsmanagement Übung;2565;Technologie- und Innovationsmanagement - 1 & 2;Haag, Christoph;41ca9f81-63f1-4dba-9c33-adae878ee2ca;;
GRC MMW;Governance, Risk und Compliance;2568;Governance, Risk und Compliance;Bartnik, Roman;;;
PL MMW;Produktion und Logistik;2572;Produktion und Logistik;Hadzeric, Amina;49182000-dcf0-4b85-92bd-c1f8be20f67c;;
PL MMW;Produktion und Logistik;2572;Produktion und Logistik;Bartnik, Roman;49182000-dcf0-4b85-92bd-c1f8be20f67c;;
RENE MMW;Regenerative Erzeugung und Nutzung von Energie;2591;Regenerative Erzeugung und Nutzung von Energie;Malek, Christian;f03195fd-cd3d-4e8b-9d00-3ec403b12367;;
OSDEP MMW;Dezentrale Energieerzeugung;2592;Optimierung und Stabilisierung dezentraler Energieerzeugungsprozesse (Netze und Speicher);Wolf, Christian;42123d0e-f9ee-4117-99f4-0c985aca1313;;
WPF SPL;Studioproduktion - Livesendung;2725;Studioproduktion - Livesendung;Kornacher, Hans;;;
WPF SPL;Studioproduktion - Livesendung;2725;Studioproduktion - Livesendung;Wassermann, Ernestine;;;
AVM MI S;Audiovisuelles Medienprojekt;2746;Audiovisuelles Medienprojekt;Kornacher, Hans;b6d5c815-9825-44d0-96b3-648580ece38a;;
LEOS E;Optische Technologien;2925;Laser und Elektooptische Systeme;Kraft, Sebastian;fbb90905-a3e0-40d9-b90b-7f91b435664b;;
CAD M;CAD mit CATIA V5;2946;CAD mit CATIA V5;Walkowiak, Marcel;;;
MUS MMW;Management und Unternehmenssteuerung;2948;Management und Unternehmenssteuerung, Master WIng;Klein, Torsten;68edc500-3ea4-47ed-89d1-9cd65747089d;;
MUS MMW;Management und Unternehmenssteuerung;2948;Management und Unternehmenssteuerung, Master WIng;Eckstein, Stefan;68edc500-3ea4-47ed-89d1-9cd65747089d;;
PROM M;Produktionsmanagement;3145;Produktionsmanagement;Zwanzig, Florian;70d904c0-93d8-4b54-a1a1-1f8ed02417ef;;
PROM M;Produktionsmanagement;3145;Produktionsmanagement;Wellendorf, Axel;70d904c0-93d8-4b54-a1a1-1f8ed02417ef;;
PROM M;Produktionsmanagement;3145;Produktionsmanagement;Permin, Eike;70d904c0-93d8-4b54-a1a1-1f8ed02417ef;;
IoT M;IoT und Cloud in der Produktion;3266;IoT und Cloud in der Produktion;Hackelöer, Felix;;;
EESG;Elektrische Energieversorgung und Smart Grids;3325;Elektrische Energieversorgung und Smart Grids;Freiburg, Michael;d1c76937-099f-43a8-ab17-97067596b9a4;;
OPTNM M;Numerical Methods;3387;Optimization of Technical Systems;Bartz-Beielstein, Thomas;0ba6d67f-22e6-479e-9bc2-2c028a309d1c;;
OPTOPT M;Optimization;3387;Optimization of Technical Systems;Bartz-Beielstein, Thomas;325bcb38-5766-482b-83eb-ac80a5f20fa2;;
WPF SUP;Stressmanagement und Persönlichkeitsentwicklung;3412;Stressmanagement und Persönlichkeitsentwicklung;Stumpf, Siegfried;;;
WPF SUP;Stressmanagement und Persönlichkeitsentwicklung;3412;Stressmanagement und Persönlichkeitsentwicklung;Riemer, Petra;;;
MA1 WI V;Mathematik 1;3427;Mathematik 1;Zühlke, Dietlind;5b024866-31aa-4c70-b2f6-de48dae7fc1c;;
GUC M;Grundlagen der Umweltchemie;3445;Grundlagen der Umweltchemie;Sartor, Miriam;5c58f3ae-5bb3-4d47-83bf-6e441e1cb80c;fec9a389-5c68-41c3-b0bd-00d390e2170b;
EPI AI S;Einführungsprojekt in die Informatik;3485;Einführungsprojekt in die Informatik;Groten, Raphaela;fb968b0d-462c-4354-9322-02617ca801df;;
INM DSM;Innovation Management;3505;Innovation Management;Lindt, Irma;053000c0-7c1e-4d33-a281-8db6f8b102fb;;
DDM DSM;Data Driven Modelling;3507;Data Driven Modelling;Mersmann, Olaf;a5b29cfe-1e4a-495e-856a-909654b5ae71;;
DDM DSM;Data Driven Modelling;3507;Data Driven Modelling;Zühlke, Dietlind;a5b29cfe-1e4a-495e-856a-909654b5ae71;;
ABIA DSM;Advanced Business Intelligence and Analytics;3508;Advanced Business Intelligence and Analytics;Westenberger, Hartmut;0df7ec6b-747c-4b4c-b770-1d96a8c4d9f8;;
DDD DSM;Domain-Driven Design of Large Software Systems;3509;Domain-Driven Design of Large Software Systems;Bente, Stefan;a1b72fc2-ca9e-4148-9468-ebafccaed0b3;;
ID DSM;Interaction Design;3510;Interaction Design;Hartmann, Gerhard;b8eccf41-036d-4d7b-b6f4-8d815e32684f;b6414a4c-61fa-429e-9a45-6eb97566ea4b;DSM / MMI
MUU DSM;Management und Unternehmenssteuerung;3512;Management und Unternehmenssteuerung;Klein, Torsten;1cf030cd-f0e5-4fe6-9430-0a4b4fbb308c;;
OR DSM;Operations Research;3513;Operations Research;Naujoks, Boris;9505eb2c-3068-449a-8e69-9c5986887f58;;
SGM DSM;Spezielle Gebiete der Mathematik;3514;Spezielle Gebiete der Mathematik;Zühlke, Dietlind;e11423a4-df53-49e5-ae64-b0066c787315;;
MSG DSM;Management Simulation Game;3515;Management Simulation Game;Werner, Christina;b9583158-3549-4cbb-b3b3-dfe9c06d0d35;;
PADT DSM;Psychological aspects of digital transformation;3516;Psychological aspects of digital transformation;Palmer, Carolin;9d7613c9-dd81-4b09-93d7-ef05a36b2d4f;;
NADI DSM;Netz-Architekturen, -Design und -Infrastrukturen;3517;Netz-Architekturen, -Design und -Infrastrukturen;Stahl, Hans L.;bc186ace-feab-4f4a-86da-e3db7316ed11;;
OSC DSM;Open Science;3518;Open Science;Blümm, Mirjam;2a5f0d91-2374-4204-b074-4eb5d977cf12;;
SPV DSM;Sicherheit, Privatsphäre und Vertrauen;3520;Sicherheit, Privatsphäre und Vertrauen;Karsch, Stefan;7a34e66f-5d0a-4c90-8476-48755e3723d1;;s. SPV MMI
UBIC DSM MMI;Ubiquitous Computing;3521;Ubiquitous Computing;Böhmer, Matthias;79648ba8-f009-4a75-8a84-1eb90f22d5c3;43ee887c-437f-4e4e-bb1c-95b03ee496f3;
WPF ABA;Anwendungsfelder der Business Analytics;3545;Anwendungsfelder des Business Analytics;Linden, Markus;;;
UPA MMW;Umwelt- und Prozessanalytik im Stoffstrom- und Ressourcenmanagement;3565;Umwelt- und Prozessanalytik im Stoffstrom- und Ressourcenmanagement;Sartor, Miriam;9d26b2db-c06c-4be6-a44d-fd42d4bd296d;;
WPF M1;Marketing 1;3585;Marketing 1;Engelen, Monika;;;
WPF ACF;Advanced Corporate Finance;3610;Advanced Corporate Finance;Werner, Christina;;;
WPF DP;Digitale Produktion;3645;Digitale Produktion;Permin, Eike;;;
SKD DSM;Seminar Knowledge Discovery;3684;Seminar Knowledge Discovery;Schaer, Philipp;a4b7fa8a-7dd8-4abf-8034-1d5e805b7931;;
SKD DSM;Seminar Knowledge Discovery;3684;Seminar Knowledge Discovery;Heisenberg, Gernot;a4b7fa8a-7dd8-4abf-8034-1d5e805b7931;;
SKD DSM;Seminar Knowledge Discovery;3684;Seminar Knowledge Discovery;Förstner (F03), Konrad;a4b7fa8a-7dd8-4abf-8034-1d5e805b7931;;
SKD DSM;Seminar Knowledge Discovery;3684;Seminar Knowledge Discovery;Lepsky (F03), Klaus;a4b7fa8a-7dd8-4abf-8034-1d5e805b7931;;
ZWR M;Zirkuläre Wertschöpfung und Recyclingtechnik;3705;Zirkuläre Wertschöpfung und Recyclingtechnik;Sartor, Miriam;41aaabb9-711f-4dee-9607-326f4a2ec1a2;;
ZWR M;Zirkuläre Wertschöpfung und Recyclingtechnik;3705;Zirkuläre Wertschöpfung und Recyclingtechnik;Malek, Christian;41aaabb9-711f-4dee-9607-326f4a2ec1a2;;
ZWR M;Zirkuläre Wertschöpfung und Recyclingtechnik;3705;Zirkuläre Wertschöpfung und Recyclingtechnik;Wellendorf, Axel;41aaabb9-711f-4dee-9607-326f4a2ec1a2;;
ETRM M;Energietechnik und Ressourcenmanagement;3706;Energietechnik und Ressourcenmanagement;Malek, Christian;e36ac1d2-bd20-4902-b457-42af3bb22153;3534a987-933a-47bd-99e5-9664955394c1;
REQ ITM P;Requirements Engineering;3746;Requirements Engineering;Lindt, Irma;414b827d-fdcf-4e76-9172-d1dc65b7e710;;
REQ ITM V;Requirements Engineering;3746;Requirements Engineering;Lindt, Irma;414b827d-fdcf-4e76-9172-d1dc65b7e710;;
AML DSM;Advanced Machine Learning;3747;Advanced Machine Learning;Heisenberg, Gernot;3b74672d-8788-4828-bedd-4a0051d32a72;;
WDB DSM;Wettbewerbsstrategien im Digital Business;3748;Wettbewerbsstrategien im Digital Business;Linde, Frank;5232fe71-7bd2-4528-a0ff-9cca594120a5;;
ANLP DSM;Advanced Natural Language Processing;3749;Advanced Natural Language Processing;Schaer, Philipp;c35e5d8a-ed27-41f4-8eb2-69862b683450;;
WIR DSM;Web Information Retrieval;3750;Web Information Retrieval;Schaer, Philipp;4169752e-a70a-4246-99dc-f64febdc4291;;
ProM DSM;Process Mining;3751;Process Mining;Zühlke, Dietlind;4a43d351-1b2b-4392-b186-2ed409b52411;;
CEX DSM;Coding Excellence;3752;Coding Excellence;Bente, Stefan;5d3d819a-22ba-4bf6-a2e2-e9feb7e3e71e;;
PM MMW;Projektmanagement (WPF);3766;Projektmanagement;Bartnik, Roman;d5c08467-31c5-4499-964f-fe44f7c95ef3;;
IRM P;Infrastruktur- und Ressourcemanagement;3785;Infrastruktur- und Ressourcemanagement;Majewski, Roman;e7d62354-5ddf-4156-a57b-f8e9e02c30c2;;
IRM V;Infrastruktur- und Ressourcemanagement;3785;Infrastruktur- und Ressourcemanagement;Majewski, Roman;e7d62354-5ddf-4156-a57b-f8e9e02c30c2;;
IuP AI WI UE;Informations- und Prozessmanagement;3786;Informations- und Prozessmanagement;Zapp, Matthias;98a5e01c-6966-4119-b590-d9303dd773b6;;
IuP AI WI V;Informations- und Prozessmanagement;3786;Informations- und Prozessmanagement;Zapp, Matthias;98a5e01c-6966-4119-b590-d9303dd773b6;;
COU WI V;Controlling und Unternehmenssteuerung;3825;Controlling und Unternehmenssteuerung;Eckstein, Stefan;2c55258d-b1e1-4914-ae4c-528404b9f44c;;
LOD DSM;Linked open Data;3845;Linked Open Data;Förstner (F03), Konrad;eeb595a7-4c1b-464d-98fc-e25e50e28c15;;
WAM DSM;Web Audience Measurement und Web-Analytics;3846;Web Audience Measurement und Web-Analytics;Fühles-Ubach, Simone;089a8af4-121c-4546-be9d-f99a17c21a92;;
WPF WP;Wirtschaftspolitik;3866;Wirtschaftspolitik;Hamidullin, Albert;;;
WPF PMSI;Psychophysik multimodaler situierter Interaktion;4046;Psychophysik multimodaler situierter Interaktion;Hartmann, Gerhard;;;
OPP MMW;Object-oriented Python Programming;4065;Object-oriented Python Programming;Wolf, Christian;;;
BIOK MMW;Biokunststoffe;4085;Biokunststoffe;Harraß, Konstantina;;;
GP-GAK DSM;Guided Project focused on Generating and Accessing Knowledge;4105;Guided Project focused on Generating and Accessing Knowledge;Kreutz, Christin;;;
RSN DSM;Recherche in (sozialen) Netzwerken;4125;Recherche in (sozialen) Netzwerken;Fühles-Ubach, Simone;51f9fb30-e72b-4be3-a912-ba42070732f5;;
CBE;Circular (Bio)Economy;4145;Circular (Bio)Economy;Himanshu, Himanshu;;;
WPF DLY;Data Literacy;4165;WPF Data Literacy;Schaible, Johann;;;
BA1 WI P;Betriebliche Anwendungssysteme 1;;;, ;65a319e8-788c-4469-ade1-a10566d87a4a;;
BA1 WI UE;Betriebliche Anwendungssysteme 1;;;, ;65a319e8-788c-4469-ade1-a10566d87a4a;;
BA2 WI P;Betriebliche Anwendungssysteme 2;;;, ;dd91f352-9546-48c2-af01-cdbe4feaeabe;;
BA2 WI UE;Betriebliche Anwendungssysteme 2;;;, ;dd91f352-9546-48c2-af01-cdbe4feaeabe;;
BWL2 ITM WI UE;Betriebswirtschaftslehre 2 (Inf) - Rechnungswesen;;;, ;;;
CK;Campuskino;;;, ;;;
COM WI UE;Controlling und Management;;;, ;;;
CS1 MAIT;Case Study 1;;;, ;;;
CS2 MAIT;Case Study 2;;;, ;;;
DaF IM AITM;Deutsch als Fremdsprache - Kurs für internationale Studierende (DE);;;, ;;;
DBS AI ITM WI UE;Datenbanksysteme;;;, ;89e8ffd6-266f-4553-8937-b0a9335164b5;;
DBS AI P;Datenbanksysteme;;;, ;89e8ffd6-266f-4553-8937-b0a9335164b5;;
DBS ITM P;Datenbanksysteme;;;, ;89e8ffd6-266f-4553-8937-b0a9335164b5;;
DBS MI P;Datenbanken;;;, ;89e8ffd6-266f-4553-8937-b0a9335164b5;;
DBS WI P;Datenbanksysteme;;;, ;89e8ffd6-266f-4553-8937-b0a9335164b5;;
EBR AI ITM UE;Einführung in Betriebssysteme und Rechnerarchitektur;;;, ;ca3d9db5-d117-4f01-b166-ea0a25a9bb84;;
EBR MI WI UE;Einführung in Betriebssysteme und Rechnerarchitektur;;;, ;ca3d9db5-d117-4f01-b166-ea0a25a9bb84;;
EWI UE WI;Übung zu EWI;;;, ;89bed5ac-8457-406a-8674-4650e74506f5;;
FT PPDM;Friday Talks;;;, ;;;
GDW ITM MI P;Grundlagen des Web;;;, ;03725940-1eb2-476a-9c1f-1b5277ed69de;;
IDM ITM P;Identity Management;;;, ;7bf34ba0-628a-4a2b-9b2a-3900f982b9e9;;
KTN AI ITM MI WI P;Kommunikationstechnik und Netze;;;, ;d53f45b2-625b-4d4b-aabe-7f879d28082a;;
KTN AI P;Kommunikationstechnik und Netze;;;, ;d53f45b2-625b-4d4b-aabe-7f879d28082a;;
KTN ITM P;Kommunikationstechnik und Netze;;;, ;d53f45b2-625b-4d4b-aabe-7f879d28082a;;
KTN MI P;Kommunikationstechnik und Netze;;;, ;d53f45b2-625b-4d4b-aabe-7f879d28082a;;
KTN WI P;Kommunikationstechnik und Netze;;;, ;d53f45b2-625b-4d4b-aabe-7f879d28082a;;
MA1 AI ITM MI P;Mathematik 1;;;, ;bc161197-329c-4146-ae3d-9269cc05c108;;
MA1 AI ITM MI TUT;Mathematik 1;;;, ;bc161197-329c-4146-ae3d-9269cc05c108;;
MA1 AI ITM MI UE;Mathematik 1;;;, ;bc161197-329c-4146-ae3d-9269cc05c108;;
MA1 AI P;Mathematik 1;;;, ;bc161197-329c-4146-ae3d-9269cc05c108;;
MA1 ITM P;Mathematik 1;;;, ;bc161197-329c-4146-ae3d-9269cc05c108;;
MA1 MI P;Mathematik 1;;;, ;bc161197-329c-4146-ae3d-9269cc05c108;;
MA1 WI P;Mathematik 1;;;, ;5b024866-31aa-4c70-b2f6-de48dae7fc1c;;
MA1 WI TUT;Mathematik 1;;;, ;5b024866-31aa-4c70-b2f6-de48dae7fc1c;;
MA1 WI UE;Mathematik 1;;;, ;5b024866-31aa-4c70-b2f6-de48dae7fc1c;;
MAS WI P;Modellierung von Anwendungssystemen;;;, ;f7a2b38b-8a5e-4c7c-9d88-73cf1ab65e62;;
MAW UE;Statistik Übung SPSS;;;, ;;;
OB;Oberseminar für Doktoranden;;;, ;;;
PH1 UE BB;Physik 1 Übungen zur Vorlesung;;;, ;7fd5e446-6eb7-4f6b-8cb7-cab7ae8e5e84;;
PM AI MI WI TUT;Projektmanagement (INF);;;, ;ce3ff48e-28d0-4bcc-b5e7-8c0f551f2112;;
PM ITM TUT;Projektmanagement (INF);;;, ;ce3ff48e-28d0-4bcc-b5e7-8c0f551f2112;;
PMA UE;Projektmanagement Übung ET;;;, ;;;
PP AI MI  UE;Paradigmen der Programmierung - Übung;;;, ;e37c5af9-6076-4f15-8c8b-d206b7091bc0;;
PP AI P;Paradigmen der Programmierung - Praktikum;;;, ;e37c5af9-6076-4f15-8c8b-d206b7091bc0;;
PP MI V;Paradigmen der Programmierung;;;, ;e37c5af9-6076-4f15-8c8b-d206b7091bc0;;
RE AI ITM MI WI UE;Recht - Teilmodul von IRG;;;, ;e3dc0278-cf5f-4296-a577-d88ad9c3e999;;
Rnb;Raum nicht buchbar;;;, ;;;
SD MI P;Screendesign;;;, ;256c37a7-b06a-4e1d-a163-41917f9e602e;;
ST1 AI P;Softwaretechnik 1;;;, ;f79b9798-6db1-44fd-b02b-a402e24b582a;;
TD TUT M;Tutorium der Technischen Thermodynamik;;;, ;;;
TI1 AI MI UE;Theoretische Informatik 1;;;, ;c75606ef-21dd-404f-a468-ab7f9c4c4117;;
TUBWL2B;Übung BWL 2;;;, ;;;
TUEMB2;Tutorium Einführung in die Mechanik 2;;;, ;34351696-98fe-409c-96ff-9f7f78bd4037;;
TUFT2;Tutorium FT2;;;, ;ce3ff48e-28d0-4bcc-b5e7-8c0f551f2112;;
TUMGR;Basiskurs Mathematik für Ingenieure;;;, ;;;
TUTAME1;Tutorium TM1;;;, ;c285df00-5cc3-4e89-8c9e-e5915b581e5d;;
TUTEM1 B;Tutorium Einführung in die Mechanik 1 ;;;, ;5b712502-14b2-49f1-9d77-a2ed852917c1;;
TUTETE;Elektrotechnik Tutorium;;;, ;;;
TUTFT1;Tutorium FT1;;;, ;2b036373-3e61-46bf-939b-61c843e78f0e;;
TUTINF2 B;Tutorium Informatik II;;;, ;80f1d7c8-8261-4f5e-b4cb-06624065928d;;
TUTMZ;Tutorium Mathe - Stud. Tutoren;;;, ;;;
TUTPH B1;Tutorium Physik 1;;;, ;3a4077fa-fb35-4e83-a54f-1473522c57c9;;
TUTPH B2;Tutorium Physik 2;;;, ;7fd5e446-6eb7-4f6b-8cb7-cab7ae8e5e84;;
TUTPRO E;Tutorium Programmieren;;;, ;0e229c2a-a8de-4732-92cd-6cbd2f40a64d;;
TUTSTL M;Tutorium STL;;;, ;f88e64e6-8344-4b7f-ad9a-8499fed4196f;;
TUTWK2;Tutorium Werkstoffkunde II;;;, ;3a5c00ce-c2a9-4d28-aa40-4968b7540448;;
UEMA1;Mathematik 1 Aktivübung;;;, ;;;
UEMA2;Mathematik 2 Aktivübung;;;, ;;;
WPF NSS M;CFD - Numerische Strömungssimulation;;;, ;;;
